Topics,Perplexity,Decrease
10,230.9147245168405,0
11,227.43170948965565,1.5083555344825286
12,220.44120887280604,3.073670172262216
13,211.5117559598327,4.050718537896249
14,206.29140427793573,2.468114199235501
15,201.36490080585315,2.3881283320196465
16,198.440699420109,1.4521902148992303
17,197.2274604323162,0.6113861679273352
18,188.01755543410513,4.669686958409979
19,188.32042867724147,-0.16108774653358415
20,183.65201983716958,2.4789710138526613
21,179.81527995033838,2.089135687281275
22,179.2221790235734,0.32983900307514413
23,173.95611703012062,2.938287003396006
24,170.22292924801454,2.1460514558735992
25,167.21357611307081,1.7678894072837275
26,164.50921870300732,1.6173073221248446
27,164.68062243253058,-0.10419095712362625
28,160.66535500443243,2.4382148723922907
29,156.22003000288456,2.7668223814805835
30,153.9384165510682,1.4605127471645127
31,153.55806311733355,0.24708155524548656
32,149.51433715321326,2.633353066605482
33,149.2168209538644,0.1989884080775289
34,148.3166113147294,0.6032896515154486
35,143.20610547116564,3.4456732784429818
